Id,Num_Victimas,Fecha,Año,Mes,Dia,Hora_Exacta,Hora,Lugar_del_hecho,Tipo_calle,Calle,Direccion,Comuna,pos x,pos y,Participantes,Victima,Acusado,Rol,Sexo,Edad,Rango_etario,Dia_nombre
2016-0067,1,2016-05-21,2016,5,21,17:00:00,17,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO","DE LA TORRE, LISANDRO y SARAZA",8,-58.48455411,-34.67512760,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,FEMENINO,30.0,Entre 21 y 40,Sabado
2016-0068,1,2016-05-22,2016,5,22,22:00:00,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,58.0,Entre 41 y 60,Domingo
2016-0069,1,2016-05-23,2016,5,23,3:30:00,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. y FILIBERTO,3,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS,CONDUCTOR,MASCULINO,30.0,Entre 21 y 40,Lunes
2016-0073,1,2016-11-06,2016,6,11,15:00:00,15,MAGARIÑOS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.","MAGARIÃ‘OS CERVANTES, A. 3900",10,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,23.0,Entre 21 y 40,Domingo
2016-0074,1,2016-12-06,2016,6,12,6:40:00,6,AV GRAL PAZ Y RODOLFO SCAPINO,AVENIDA,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,60.0,Entre 61 y 80,Martes
2016-0075,1,2016-12-06,2016,6,12,23:13:00,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,42.0,Entre 41 y 60,Martes
2016-0076,1,2016-06-13,2016,6,13,16:20:00,16,AV SAN MARTIN Y CAMARONES,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,53.0,Entre 41 y 60,Lunes
2016-0077,1,2016-06-13,2016,6,13,21:52:00,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.37027770,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,,,Lunes
2016-0078,1,2016-06-13,2016,6,13,23:01:00,23,AV BELGRANO Y AV JUJUY,AVENIDA,BELGRANO AV.,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.61463830,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,30.0,Entre 21 y 40,Lunes
2016-0079,1,2016-06-16,2016,6,16,17:13:00,17,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,DEL LIBERTADOR AV.,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,FEMENINO,51.0,Entre 41 y 60,Jueves
2016-0080,1,2016-06-18,2016,6,18,6:42:00,6,AV GRAL PAZ Y AV RIVADAVIA,AVENIDA,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,AUTO-SD,AUTO,AUTO,CONDUCTOR,MASCULINO,60.0,Entre 61 y 80,Sabado
2016-0081,1,2016-06-22,2016,6,22,7:42:00,7,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,"LARRALDE, CRISOLOGO AV.","LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.48721060,-34.55904606,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,40.0,Entre 41 y 60,Miercoles
2016-0082,1,2016-06-27,2016,6,27,18:24:00,18,AV LA PLATA 2384,AVENIDA,LA PLATA AV.,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,87.0,Más de 80,Lunes
2016-0083,1,2016-06-28,2016,6,28,20:46:00,20,AV JUAN B ALBERDI Y PUAN,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,76.0,Entre 61 y 80,Martes
